"Column","Type","Extra","Comment"
payment_transactionid,varchar,"",""
payment_traceid,varchar,"",""
payment_status,varchar,"",""
fulfillment_status,varchar,"",""
payment_msisdn,varchar,"",""
payment_details,varchar,"",""
fulfillment_details,varchar,"",""
payment_channel,varchar,"",""
product_type,varchar,"",""
payment_productid,varchar,"",""
payment_currency,varchar,"",""
payment_amount,varchar,"",""
payment_responsemessage,varchar,"",""
fulfillment_date_key,integer,"",""
payment_date_key,integer,"",""
payment_processed_timestamp,bigint,"",""
payment_customername,varchar,"",""
payment_customeremail,varchar,"",""
payment_msc,varchar,"",""
payment_description,varchar,"",""
payment_tbl_dt,integer,partition key,""
